"","V1","V2"
"1","ANPEP.01","5169"
"2","ANPEP.02","7572"
"3","ANTXR1.01","1539"
"4","ANTXR1.04","992"
"5","ANTXR1.10","1252"
"6","AXL.01","8352"
"7","AXL.02","5489"
"8","AXL.03","8686"
"9","AXL.04","AXL.04"
"10","CD38.01","3425"
"11","CD38.02","2607"
"12","CD55.03","1502"
"13","CD55.04","168"
"14","CD59.01","7584"
"15","CD59.02","3278"
"16","CD59.03","3828"
"17","CDCP1.01","16379"
"18","CDCP1.03","8332"
"19","CDCP1.04","4614"
"20","CSF1R.01","2395"
"21","CSF1R.02","6413"
"22","CXADR.03","6482"
"23","CXADR.05","6359"
"24","CXADR.17","5365"
"25","CXADR.22","6277"
"26","DDR1.01","3668"
"27","DDR2.01","DDR2.01"
"28","EGFR.01","7446"
"29","EPHA1.04","2"
"30","EPHA10.01","EPHA10.01"
"31","EPHA10.02","EPHA10.02"
"32","EPHA10.03","EPHA10.03"
"33","EPHA2.01","EPHA2.01"
"34","EPHA2.02","EPHA2.02"
"35","EPHA2.04","EPHA2.04"
"36","EPHA4.01","89886"
"37","EPHA4.02","EPHA4.02"
"38","EPHA4.03","EPHA4.03"
"39","EPHA4.04","EPHA4.04"
"40","EPHA5.02","1"
"41","EPHA5.03","EPHA5.03"
"42","EPHA5.04","EPHA5.04"
"43","EPHA6.01","136"
"44","EPHA6.02","EPHA6.02"
"45","EPHA6.03","EPHA6.03"
"46","EPHA6.04","EPHA6.04"
"47","EPHA7.01","176"
"48","EPHA7.02","EPHA7.02"
"49","EPHA7.03","EPHA7.03"
"50","EPHA7.04","EPHA7.04"
"51","EPHA8.01","79"
"52","EPHB2.01","2"
"53","EPHB2.03","EPHB2.03"
"54","EPHB3.01","EPHB3.01"
"55","EPHB3.02","EPHB3.02"
"56","EPHB3.03","EPHB3.03"
"57","EPHB3.04","EPHB3.04"
"58","EPHB4.01","EPHB4.01"
"59","EPHB4.02","EPHB4.02"
"60","EPHB4.03","717"
"61","EPHB6.01","81"
"62","EPHB6.02","42"
"63","FGFR1b.01","FGFR1b.01"
"64","FGFR2.01","FGFR2.01"
"65","FGFR2.02","FGFR2.02"
"66","FGFR2.03","FGFR2.03"
"67","FGFR2b.01","FGFR2b.01"
"68","FGFR2b.02","FGFR2b.02"
"69","FGFR2c.01","FGFR2c.01"
"70","FGFR2c.02","FGFR2c.02"
"71","FGFR4.01","942"
