"","V1","V2"
"118","NTRK3.01","NTRK3.01"
"119","NTRK3.02","4359"
"120","NTRK3.03","34"
"121","PDGFRA.01","PDGFRA.01"
"122","PDGFRA.02","PDGFRA.02"
"123","PDGFRA.03","PDGFRA.03"
"124","PDGFRA.04","PDGFRA.04"
"125","PDGFRB.01","5859"
"126","PDGFRB.02","6756"
"127","PDGFRB.03","8198"
"128","PDGFRB.04","PDGFRB.04"
"129","PTK7.01","PTK7.01"
"130","PTK7.02","6097"
"131","PTK7.03","8568"
"132","PTK7.04","PTK7.04"
"133","RET.01","RET.01"
"134","RET.02","RET.02"
"135","RON.01","6197"
"136","RON.02","RON.02"
"137","RON.03","RON.03"
"138","RON.04","5589"
"139","ROR1.01","ROR1.01"
"140","ROR1.02","6311"
"141","ROR1.03","ROR1.03"
"142","ROR1.04","6108"
"143","ROR1.05","ROR1.05"
"144","ROR1.09","ROR1.09"
"145","ROR1.10","22377"
"146","ROR1.11","ROR1.11"
"147","ROR1.12","ROR1.12"
"148","ROR1.13","ROR1.13"
"149","ROR1.14","ROR1.14"
"150","ROR1.15","6876"
"151","ROR1.16","ROR1.16"
"152","RYK.01","5078"
"153","TIE1.01","TIE1.01"
"154","TIE1.02","952"
"155","TIE1.03","8485"
"156","TIE2.01","20"
"157","TIE2.02","7672"
"158","TIE2.03","3114"
"159","TIE2.04","12170"
"160","TYRO3.02","4609"
"161","TYRO3.03","TYRO3.03"
"162","TYRO3.04","TYRO3.04"
"163","VEGFR2.01","VEGFR2.01"
"164","VEGFR2.02","VEGFR2.02"
"165","VEGFR2.03","12132"
"166","VEGFR2.04","VEGFR2.04"
"167","VEGFR3.01","VEGFR3.01"
"168","VEGFR3.02","VEGFR3.02"
"169","VEGFR3.03","VEGFR3.03"
"170","VEGFR3.04","VEGFR3.04"
"171","GFP.01","3213"
"172","GFP.02","8560"
"173","GFP.03","GFP.03"
"174","SMARCC2.01","SMARCC2.01"
"175","TRAlpha.01","9642"
"176","ZNF2.01","5632"
"177","ZNF18.01","3485"
