""," Set9_01_A01_S1_L005_R1_001.fastq.gz.csv"," Set9_01_A02_S2_L005_R1_001.fastq.gz.csv"," Set9_01_A03_S3_L005_R1_001.fastq.gz.csv"," Set9_01_A04_S4_L005_R1_001.fastq.gz.csv"," Set9_01_A05_S5_L005_R1_001.fastq.gz.csv"
"TIE2.02",130,847,102,7672,3720
"TIE2.03",189,7984,92,3114,1538
"TIE2.04",230,3580,181,12170,6891
"TYRO3.02",54,192,71,4609,3795
"TYRO3.03",0,1,2,0,1
"TYRO3.04",0,0,0,0,0
"VEGFR2.01",0,0,0,0,0
"VEGFR2.02",0,0,0,0,0
"VEGFR2.03",234,8926,166,12132,6930
"VEGFR2.04",0,0,0,0,0
"VEGFR3.01",0,0,0,0,0
"VEGFR3.02",0,0,0,0,0
"VEGFR3.03",0,0,0,0,0
"VEGFR3.04",0,0,0,0,0
"GFP.01",2958,2803,2069,3213,2903
"GFP.02",188,3350,169,8560,6622
"GFP.03",0,0,0,0,0
"SMARCC2.01",0,0,0,0,0
"TRAlpha.01",202,1806,177,9642,8064
"ZNF2.01",173,4751,119,5632,2655
"ZNF18.01",63,508,90,3485,1608
